Resource Type,Region,Identifier,Nukable
iam,global,aditya,-
iam,global,admin,-
iam,global,aellison,-
iam,global,alan,-
iam,global,alexguerrero,-
iam,global,andrew,-
iam,global,anis,-
iam,global,au-backend,-
iam,global,au-data-pipeline,-
iam,global,au-device-data-uploader,-
iam,global,auth0-mfa,-
iam,global,aviatrix-vpn-admin,-
iam,global,azaheer,-
iam,global,backend.stage.us-east-1.wearkinetic.com,-
iam,global,beau,-
iam,global,bfrydl,-
iam,global,coruscant,-
iam,global,dante,-
iam,global,data-export-tool-user,-
iam,global,dax,-
iam,global,denisse,-
iam,global,dereks,-
iam,global,dev-backend,-
iam,global,dev-data-pipeline,-
iam,global,dev-device-data-uploader,-
iam,global,device-s3-read,-
iam,global,ds-forensics,-
iam,global,galen,-
iam,global,gitlab,-
iam,global,gitlab-deploy-infra,-
iam,global,gitlab-runner,-
iam,global,gitlab-ses,-
iam,global,hardware-data-analysis,-
iam,global,iot-admin,-
iam,global,isaac,-
iam,global,Jerrin,-
iam,global,joe,-
iam,global,manufacturing_tool,-
iam,global,marcel,-
iam,global,mcleod,-
iam,global,michael,-
iam,global,mijael,-
iam,global,nilakshi,-
iam,global,peter,-
iam,global,philip,-
iam,global,prod-backend,-
iam,global,prod-data-pipeline,-
iam,global,prod-device-data-uploader,-
iam,global,rashad,-
iam,global,ray-olsen,-
iam,global,raymond,-
iam,global,retool-athena,-
iam,global,retool-lambda-invoker,-
iam,global,s3-user,-
iam,global,salesforce_dynamo,-
iam,global,sara,-
iam,global,sean,-
iam,global,ses-smtp,-
iam,global,ses-smtp-user-auth0-mfa,-
iam,global,stage-backend,-
iam,global,stage-data-pipeline,-
iam,global,stage-device-data-uploader,-
iam,global,theo,-
iam,global,tlm-logstash,-
iam,global,trevor,-
iam,global,us-copy-prod-to-stage,-
iam,global,us-device-data-uploader,-
iam,global,us-email-uploader,-
iam,global,vault,-
iam-group,global,admins,-
iam-group,global,basic_users,-
iam-group,global,console-user,-
iam-group,global,data-science,-
iam-group,global,ec2admin,-
